Nivel de Bloom,Resultado de Aprendizaje
Evaluación,Criticar los conceptos fundamentales de ingeniería de software.
Aplicación,Implementar los conceptos fundamentales de bioinformática.
Análisis,Evaluar los conceptos fundamentales de criptografía.
Análisis,Detectar los conceptos fundamentales de tecnologías móviles.
Conocimiento,Identificar los conceptos fundamentales de seguridad informática.
Aplicación,Ejecutar los conceptos fundamentales de análisis de algoritmos.
Síntesis,Inventar los conceptos fundamentales de visión por computador.
Evaluación,Defender los conceptos fundamentales de internet de las cosas.
Comprensión,Explicar los conceptos fundamentales de blockchain.
Comprensión,Explicar los conceptos fundamentales de metodologías ágiles.
Comprensión,Explicar los conceptos fundamentales de sistemas expertos.
Evaluación,Diagnosticar los conceptos fundamentales de visión por computador.
Análisis,Separar los conceptos fundamentales de ciencia de datos.
Aplicación,Ejecutar los conceptos fundamentales de robótica.
Conocimiento,Señalar los conceptos fundamentales de compiladores.
Conocimiento,Identificar los conceptos fundamentales de ciencia de datos.
Síntesis,Construir los conceptos fundamentales de inteligencia artificial.
Aplicación,Programar los conceptos fundamentales de visualización de datos.
Análisis,Separar los conceptos fundamentales de aprendizaje automático.
Comprensión,Explicar los conceptos fundamentales de lenguajes de programación.
Aplicación,Adaptar los conceptos fundamentales de ciencia de datos.
Análisis,Separar los conceptos fundamentales de estructuras de datos.
Comprensión,Clasificar los conceptos fundamentales de análisis de algoritmos.
Evaluación,Evaluar los conceptos fundamentales de computación en la nube.
Conocimiento,Reconocer los conceptos fundamentales de sistemas embebidos.
Aplicación,Adaptar los conceptos fundamentales de bases de datos.
Evaluación,Validar los conceptos fundamentales de realidad virtual.
Comprensión,Ilustrar los conceptos fundamentales de informática forense.
Síntesis,Organizar los conceptos fundamentales de blockchain.
Análisis,Analizar los conceptos fundamentales de robótica.
Análisis,Examinar los conceptos fundamentales de desarrollo web.
Comprensión,Explicar los conceptos fundamentales de realidad aumentada.
Conocimiento,Recordar los conceptos fundamentales de redes de computadoras.
Síntesis,Construir los conceptos fundamentales de desarrollo web.
Análisis,Examinar los conceptos fundamentales de interfaces humano-computadora.
Comprensión,Resumir los conceptos fundamentales de bioinformática.
Análisis,Separar los conceptos fundamentales de redes de computadoras.
Aplicación,Demostrar los conceptos fundamentales de computación en la nube.
Análisis,Diferenciar los conceptos fundamentales de blockchain.
Análisis,Evaluar los conceptos fundamentales de sistemas embebidos.
Síntesis,Organizar los conceptos fundamentales de realidad aumentada.
Aplicación,Aplicar los conceptos fundamentales de interfaces humano-computadora.
Comprensión,Comparar los conceptos fundamentales de ética informática.
Síntesis,Diseñar los conceptos fundamentales de tecnologías móviles.
Conocimiento,Definir los conceptos fundamentales de ética informática.
Aplicación,Adaptar los conceptos fundamentales de pruebas de software.
Aplicación,Simular los conceptos fundamentales de arquitectura de computadoras.
Evaluación,Justificar los conceptos fundamentales de desarrollo web.
Comprensión,Interpretar los conceptos fundamentales de redes de computadoras.
Conocimiento,Señalar los conceptos fundamentales de visualización de datos.
Comprensión,Comparar los conceptos fundamentales de pruebas de software.
Análisis,Diferenciar los conceptos fundamentales de sistemas embebidos.
Comprensión,Clasificar los conceptos fundamentales de redes de computadoras.
Aplicación,Implementar los conceptos fundamentales de internet de las cosas.
Análisis,Separar los conceptos fundamentales de robótica.
Análisis,Analizar los conceptos fundamentales de criptografía.
Análisis,Detectar los conceptos fundamentales de seguridad informática.
Comprensión,Clasificar los conceptos fundamentales de inteligencia artificial.
Análisis,Examinar los conceptos fundamentales de algoritmos.
Síntesis,Planificar los conceptos fundamentales de computación en la nube.
Aplicación,Simular los conceptos fundamentales de sistemas embebidos.
Comprensión,Comparar los conceptos fundamentales de bases de datos.
Aplicación,Modificar los conceptos fundamentales de realidad virtual.
Análisis,Separar los conceptos fundamentales de computación cuántica.
Síntesis,Formular los conceptos fundamentales de sistemas embebidos.
Análisis,Diferenciar los conceptos fundamentales de sistemas distribuidos.
Síntesis,Formular los conceptos fundamentales de metodologías ágiles.
Análisis,Relacionar los conceptos fundamentales de metodologías ágiles.
Comprensión,Interpretar los conceptos fundamentales de interfaces humano-computadora.
Aplicación,Adaptar los conceptos fundamentales de interfaces humano-computadora.
Síntesis,Desarrollar los conceptos fundamentales de informática forense.
Evaluación,Argumentar los conceptos fundamentales de robótica.
Conocimiento,Listar los conceptos fundamentales de realidad virtual.
Comprensión,Parafrasear los conceptos fundamentales de pruebas de software.
Evaluación,Diagnosticar los conceptos fundamentales de realidad virtual.
Aplicación,Usar los conceptos fundamentales de pruebas de software.
Aplicación,Programar los conceptos fundamentales de visualización de datos.
Evaluación,Argumentar los conceptos fundamentales de computación en la nube.
Evaluación,Examinar los conceptos fundamentales de sistemas expertos.
Aplicación,Modificar los conceptos fundamentales de arquitectura de computadoras.
Síntesis,Integrar los conceptos fundamentales de seguridad informática.
Aplicación,Demostrar los conceptos fundamentales de metodologías ágiles.
Evaluación,Diagnosticar los conceptos fundamentales de computación ubicua.
Síntesis,Integrar los conceptos fundamentales de inteligencia artificial.
Síntesis,Diseñar los conceptos fundamentales de sistemas distribuidos.
Aplicación,Programar los conceptos fundamentales de pruebas de software.
Conocimiento,Reconocer los conceptos fundamentales de bases de datos.
Evaluación,Comparar los conceptos fundamentales de informática forense.
Síntesis,Formular los conceptos fundamentales de ingeniería de software.
Análisis,Relacionar los conceptos fundamentales de metodologías ágiles.
Análisis,Inferir los conceptos fundamentales de estructuras de datos.
Aplicación,Programar los conceptos fundamentales de criptografía.
Conocimiento,Describir los conceptos fundamentales de criptografía.
Conocimiento,Listar los conceptos fundamentales de bases de datos.
Comprensión,Explicar los conceptos fundamentales de interfaces humano-computadora.
Conocimiento,Listar los conceptos fundamentales de realidad virtual.
Análisis,Diferenciar los conceptos fundamentales de aprendizaje automático.
Evaluación,Validar los conceptos fundamentales de criptografía.
Evaluación,Argumentar los conceptos fundamentales de análisis de algoritmos.
Análisis,Detectar los conceptos fundamentales de robótica.
Comprensión,Distinguir los conceptos fundamentales de simulación por computadora.
Conocimiento,Repetir los conceptos fundamentales de estructuras de datos.
Evaluación,Justificar los conceptos fundamentales de seguridad informática.
Evaluación,Comparar los conceptos fundamentales de procesamiento del lenguaje natural.
Aplicación,Demostrar los conceptos fundamentales de sistemas expertos.
Comprensión,Parafrasear los conceptos fundamentales de bioinformática.
Evaluación,Cuestionar los conceptos fundamentales de análisis de algoritmos.
Conocimiento,Describir los conceptos fundamentales de blockchain.
Aplicación,Ejecutar los conceptos fundamentales de interfaces humano-computadora.
Síntesis,Construir los conceptos fundamentales de compiladores.
Aplicación,Aplicar los conceptos fundamentales de sistemas embebidos.
Conocimiento,Listar los conceptos fundamentales de sistemas distribuidos.
Síntesis,Construir los conceptos fundamentales de computación ubicua.
Comprensión,Resumir los conceptos fundamentales de sistemas embebidos.
Comprensión,Comparar los conceptos fundamentales de computación en la nube.
Aplicación,Usar los conceptos fundamentales de inteligencia artificial.
Comprensión,Indicar los conceptos fundamentales de ingeniería de software.
Evaluación,Validar los conceptos fundamentales de realidad virtual.
Aplicación,Ejecutar los conceptos fundamentales de lenguajes de programación.
Conocimiento,Describir los conceptos fundamentales de informática forense.
Evaluación,Argumentar los conceptos fundamentales de sistemas operativos.
Evaluación,Justificar los conceptos fundamentales de computación ubicua.
Aplicación,Adaptar los conceptos fundamentales de sistemas distribuidos.
Aplicación,Demostrar los conceptos fundamentales de sistemas distribuidos.
Análisis,Relacionar los conceptos fundamentales de simulación por computadora.
Comprensión,Parafrasear los conceptos fundamentales de sistemas embebidos.
Conocimiento,Nombrar los conceptos fundamentales de teoría de autómatas.
Síntesis,Proponer los conceptos fundamentales de estructuras de datos.
Aplicación,Programar los conceptos fundamentales de seguridad informática.
Conocimiento,Nombrar los conceptos fundamentales de estructuras de datos.
Análisis,Detectar los conceptos fundamentales de visión por computador.
Comprensión,Indicar los conceptos fundamentales de visión por computador.
Conocimiento,Describir los conceptos fundamentales de bases de datos.
Evaluación,Validar los conceptos fundamentales de desarrollo web.
Análisis,Inferir los conceptos fundamentales de desarrollo web.
Aplicación,Demostrar los conceptos fundamentales de sistemas expertos.
Análisis,Inferir los conceptos fundamentales de computación cuántica.
Evaluación,Argumentar los conceptos fundamentales de interfaces humano-computadora.
Evaluación,Validar los conceptos fundamentales de sistemas expertos.
Comprensión,Distinguir los conceptos fundamentales de robótica.
Evaluación,Examinar los conceptos fundamentales de sistemas embebidos.
Aplicación,Aplicar los conceptos fundamentales de pruebas de software.
Síntesis,Inventar los conceptos fundamentales de ética informática.
Comprensión,Indicar los conceptos fundamentales de tecnologías móviles.
Comprensión,Ilustrar los conceptos fundamentales de procesamiento del lenguaje natural.
Evaluación,Justificar los conceptos fundamentales de aprendizaje automático.
Conocimiento,Listar los conceptos fundamentales de computación ubicua.
Análisis,Detectar los conceptos fundamentales de estructuras de datos.
Análisis,Detectar los conceptos fundamentales de computación en la nube.
Evaluación,Validar los conceptos fundamentales de tecnologías móviles.
Evaluación,Evaluar los conceptos fundamentales de lenguajes de programación.
Comprensión,Clasificar los conceptos fundamentales de algoritmos.
Conocimiento,Recordar los conceptos fundamentales de internet de las cosas.
Análisis,Organizar los conceptos fundamentales de ética informática.
Análisis,Relacionar los conceptos fundamentales de realidad virtual.
Síntesis,Planificar los conceptos fundamentales de sistemas embebidos.
Conocimiento,Enumerar los conceptos fundamentales de realidad aumentada.
Síntesis,Proponer los conceptos fundamentales de realidad virtual.
Evaluación,Evaluar los conceptos fundamentales de informática forense.
Evaluación,Examinar los conceptos fundamentales de tecnologías móviles.
Evaluación,Comparar los conceptos fundamentales de blockchain.
Aplicación,Modificar los conceptos fundamentales de realidad aumentada.
Conocimiento,Identificar los conceptos fundamentales de análisis de algoritmos.
Conocimiento,Describir los conceptos fundamentales de criptografía.
Evaluación,Evaluar los conceptos fundamentales de blockchain.
Conocimiento,Señalar los conceptos fundamentales de interfaces humano-computadora.
Aplicación,Implementar los conceptos fundamentales de sistemas operativos.
Aplicación,Modificar los conceptos fundamentales de sistemas expertos.
Síntesis,Desarrollar los conceptos fundamentales de desarrollo web.
Evaluación,Argumentar los conceptos fundamentales de redes de computadoras.
Conocimiento,Describir los conceptos fundamentales de inteligencia artificial.
Aplicación,Aplicar los conceptos fundamentales de redes de computadoras.
Conocimiento,Señalar los conceptos fundamentales de sistemas embebidos.
Aplicación,Usar los conceptos fundamentales de ética informática.
Conocimiento,Enumerar los conceptos fundamentales de bioinformática.
Síntesis,Proponer los conceptos fundamentales de arquitectura de computadoras.
Comprensión,Interpretar los conceptos fundamentales de análisis de algoritmos.
Síntesis,Construir los conceptos fundamentales de realidad aumentada.
Aplicación,Usar los conceptos fundamentales de algoritmos.
Comprensión,Clasificar los conceptos fundamentales de informática forense.
Análisis,Inferir los conceptos fundamentales de internet de las cosas.
Análisis,Detectar los conceptos fundamentales de informática forense.
Aplicación,Usar los conceptos fundamentales de blockchain.
Análisis,Evaluar los conceptos fundamentales de blockchain.
Evaluación,Cuestionar los conceptos fundamentales de aprendizaje automático.
Síntesis,Formular los conceptos fundamentales de blockchain.
Comprensión,Parafrasear los conceptos fundamentales de ciencia de datos.
Síntesis,Reformular los conceptos fundamentales de desarrollo web.
Conocimiento,Enumerar los conceptos fundamentales de aprendizaje automático.
Análisis,Detectar los conceptos fundamentales de redes de computadoras.
Comprensión,Ilustrar los conceptos fundamentales de metodologías ágiles.
Comprensión,Parafrasear los conceptos fundamentales de estructuras de datos.
Evaluación,Diagnosticar los conceptos fundamentales de visión por computador.
Evaluación,Argumentar los conceptos fundamentales de blockchain.
Aplicación,Aplicar los conceptos fundamentales de ética informática.
Comprensión,Indicar los conceptos fundamentales de computación en la nube.
Síntesis,Planificar los conceptos fundamentales de computación en la nube.
Evaluación,Criticar los conceptos fundamentales de sistemas distribuidos.
Evaluación,Diagnosticar los conceptos fundamentales de estructuras de datos.
Evaluación,Examinar los conceptos fundamentales de informática forense.
Conocimiento,Enumerar los conceptos fundamentales de tecnologías móviles.
Evaluación,Validar los conceptos fundamentales de simulación por computadora.
Evaluación,Evaluar los conceptos fundamentales de visualización de datos.
Análisis,Relacionar los conceptos fundamentales de ciencia de datos.
Síntesis,Inventar los conceptos fundamentales de realidad virtual.
Conocimiento,Recordar los conceptos fundamentales de bioinformática.
Comprensión,Mostrar los conceptos fundamentales de internet de las cosas.
Síntesis,Integrar los conceptos fundamentales de algoritmos.
Evaluación,Criticar los conceptos fundamentales de visualización de datos.
Aplicación,Usar los conceptos fundamentales de interfaces humano-computadora.
Comprensión,Comparar los conceptos fundamentales de internet de las cosas.
Comprensión,Interpretar los conceptos fundamentales de compiladores.
Evaluación,Cuestionar los conceptos fundamentales de compiladores.
Análisis,Relacionar los conceptos fundamentales de arquitectura de computadoras.
Comprensión,Interpretar los conceptos fundamentales de informática forense.
Síntesis,Construir los conceptos fundamentales de interfaces humano-computadora.
Conocimiento,Definir los conceptos fundamentales de metodologías ágiles.
Síntesis,Integrar los conceptos fundamentales de arquitectura de computadoras.
Conocimiento,Nombrar los conceptos fundamentales de gamificación.
Aplicación,Demostrar los conceptos fundamentales de procesamiento del lenguaje natural.
Análisis,Separar los conceptos fundamentales de compiladores.
Evaluación,Criticar los conceptos fundamentales de robótica.
Evaluación,Validar los conceptos fundamentales de teoría de autómatas.
Síntesis,Formular los conceptos fundamentales de ética informática.
Aplicación,Usar los conceptos fundamentales de lenguajes de programación.
Evaluación,Comparar los conceptos fundamentales de inteligencia artificial.
Comprensión,Explicar los conceptos fundamentales de redes de computadoras.
Comprensión,Indicar los conceptos fundamentales de bioinformática.
Evaluación,Comparar los conceptos fundamentales de realidad virtual.
Síntesis,Formular los conceptos fundamentales de ingeniería de software.
Análisis,Detectar los conceptos fundamentales de blockchain.
Evaluación,Validar los conceptos fundamentales de robótica.
Aplicación,Demostrar los conceptos fundamentales de criptografía.
Análisis,Evaluar los conceptos fundamentales de aprendizaje automático.
Comprensión,Mostrar los conceptos fundamentales de metodologías ágiles.
Conocimiento,Señalar los conceptos fundamentales de aprendizaje automático.
Síntesis,Desarrollar los conceptos fundamentales de simulación por computadora.
Conocimiento,Listar los conceptos fundamentales de robótica.
Análisis,Separar los conceptos fundamentales de algoritmos.
Comprensión,Indicar los conceptos fundamentales de computación cuántica.
Conocimiento,Listar los conceptos fundamentales de sistemas distribuidos.
Síntesis,Integrar los conceptos fundamentales de bioinformática.
Evaluación,Validar los conceptos fundamentales de blockchain.
Conocimiento,Describir los conceptos fundamentales de procesamiento del lenguaje natural.
Síntesis,Proponer los conceptos fundamentales de computación ubicua.
Evaluación,Examinar los conceptos fundamentales de análisis de algoritmos.
Evaluación,Argumentar los conceptos fundamentales de sistemas expertos.
Comprensión,Indicar los conceptos fundamentales de inteligencia artificial.
Conocimiento,Definir los conceptos fundamentales de robótica.
Aplicación,Modificar los conceptos fundamentales de informática forense.
Evaluación,Argumentar los conceptos fundamentales de teoría de autómatas.
Aplicación,Usar los conceptos fundamentales de teoría de autómatas.
